"","country","year","web.cap","elec.cap","gdp.cap","sec.cap","ter.cap","edubux","fHIV","mHIV","tHIV","teenmom","contrac","ter.gdr","wrk.fem","pop"
"998","Lesotho",2008,3.58,NA,826.829442167243,43.798999786377,NA,20.1275196075439,11.4,6.1,22.3,NA,NA,NA,NA,1972199
"999","Lesotho",2007,3.44543125970873,NA,816.807722153113,41.8380508422852,NA,NA,11.4,6.1,22,NA,NA,NA,NA,1955784
"1000","Lesotho",2006,2.97970818724486,NA,736.365389582076,39.8388595581055,3.88129997253418,24.7903804779053,11.6,6.1,21.9,NA,NA,127.469003200531,NA,1940413
"1001","Lesotho",2005,2.58024548419449,NA,710.520978938353,39.5876007080078,3.67343997955322,28.6704406738281,11.9,6.3,22,NA,37.3,136.530005931854,NA,1925844
"1002","Liberia",2011,3,NA,376.928454386446,45.1567916870117,NA,NA,0.3,0.2,1.3,NA,NA,NA,NA,4079697
"1003","Liberia",2010,2.3,4.1,326.604280445057,NA,9.29885005950928,NA,0.4,0.2,1.4,NA,NA,53.2939970493317,24.1,3957990
"1004","Liberia",2009,0.51,NA,302.28035237659,NA,NA,NA,0.4,0.2,1.5,37.6,NA,NA,NA,3821440
"1005","Liberia",2008,0.53,NA,231.447496004217,NA,NA,NA,0.5,0.2,1.7,NA,NA,NA,NA,3672714
"1006","Liberia",2007,0.551376580555429,NA,209.814084862501,NA,NA,NA,0.6,0.3,1.9,32.1,11.4,NA,NA,3522294
"1007","Liberia",2006,NA,NA,178.453730763935,NA,NA,NA,0.7,0.3,2.1,NA,NA,NA,NA,3384791
"1008","Liberia",2005,NA,NA,165.760083381603,NA,NA,NA,0.9,0.4,2.4,NA,NA,NA,NA,3269786
"1009","Libya",2011,14,NA,5685.41222719291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6103233
"1010","Libya",2010,14,100,12375.4495267956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6040612
"1011","Libya",2009,10.8,NA,10455.5748673945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5964325
"1012","Libya",2008,9,NA,15853.4615089924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5876805
"1013","Libya",2007,4.72199937850513,NA,12418.1835912654,NA,NA,NA,NA,NA,NA,NA,41.9,NA,NA,5782108
"1014","Libya",2006,4.30105178913002,NA,9933.10882400784,104.301086425781,NA,NA,NA,NA,NA,NA,NA,NA,NA,5686475
"1015","Libya",2005,3.91778797710285,NA,7864.93757205802,99.0931625366211,NA,NA,NA,NA,NA,NA,NA,NA,NA,5594450
"1016","Liechtenstein",2011,85,NA,NA,111.456573486328,43.6750984191895,NA,NA,NA,NA,NA,NA,53.167998790741,44.4,36388
"1017","Liechtenstein",2010,80,100,NA,108.879280090332,36.018310546875,NA,NA,NA,NA,NA,NA,61.693000793457,43.8,36120
"1018","Liechtenstein",2009,75,NA,134617.379609051,105.68448638916,34.4449501037598,NA,NA,NA,NA,NA,NA,49.3380010128021,43.7,35851
"1019","Liechtenstein",2008,70,NA,138536.757763327,107.566116333008,36.7309494018555,NA,NA,NA,NA,NA,NA,51.6629993915558,NA,35582
"1020","Liechtenstein",2007,65.080218443168,NA,130348.559063193,106.342277526855,31.625940322876,NA,NA,NA,NA,NA,NA,46.7990010976791,NA,35308
"1021","Liechtenstein",2006,64.2141613630526,NA,113873.924970654,107.011070251465,29.81715965271,NA,NA,NA,NA,NA,NA,43.4439986944199,NA,35028
"1022","Liechtenstein",2005,63.3713561470216,NA,105306.74662665,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.4,34740
"1023","Lithuania",2011,63.6399774002179,NA,14227.6855383745,106.918479919434,76.6044082641602,13.5550699234009,NA,NA,NA,NA,NA,147.13100194931,53.6,3028115
"1024","Lithuania",2010,62.12,100,11852.1696016454,106.681747436523,80.7507476806641,12.8700704574585,NA,NA,NA,NA,NA,149.607002735138,54.4,3097282
"1025","Lithuania",2009,59.76,NA,11713.8999970367,105.440689086914,83.3214111328125,12.7777900695801,NA,NA,NA,NA,NA,148.660004138947,54.3,3162916
"1026","Lithuania",2008,55.22,NA,14832.6881505581,104.923866271973,80.399787902832,13.0534000396729,NA,NA,NA,NA,NA,153.260004520416,NA,3198231
"1027","Lithuania",2007,49.9,NA,12170.3521656783,104.362739562988,78.4397201538086,13.3262500762939,NA,NA,NA,NA,NA,154.671001434326,53,3231294
"1028","Lithuania",2006,43.9,NA,9249.90929620031,104.256538391113,78.3799667358398,14.2896995544434,NA,NA,NA,NA,62.9,154.147005081177,52.9,3269909
"1029","Lithuania",2005,36.22,NA,7851.04210464184,104.00959777832,77.5065994262695,14.5799503326416,NA,NA,NA,NA,NA,155.479001998901,53,3322528
"1030","Luxembourg",2011,90.0298585646936,NA,113738.72604854,101.017730712891,NA,NA,NA,NA,NA,NA,NA,NA,43.9,518347
"1031","Luxembourg",2010,90.62,100,102856.971717281,100.956489562988,18.2052192687988,NA,NA,NA,NA,NA,NA,111.038994789124,44,506953
"1032","Luxembourg",2009,87.31,NA,100729.284056422,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.7,497783
"1033","Luxembourg",2008,82.23,NA,112481.227692242,97.1868209838867,10.57493019104,NA,NA,NA,NA,NA,NA,96.451997756958,43.3,488650
"1034","Luxembourg",2007,78.92,NA,102518.132923721,96.5824890136719,NA,NA,NA,NA,NA,NA,NA,NA,43.8,479993
"1035","Luxembourg",2006,72.51,NA,88395.6749966445,95.9080505371094,10.3311996459961,NA,NA,NA,NA,NA,NA,113.449001312256,43.2,472637
"1036","Luxembourg",2005,70,NA,79593.5543844514,95.4259490966797,NA,NA,NA,NA,NA,NA,NA,NA,42.4,465158
"1037","Macao SAR, China",2011,60.2036967182195,NA,67062.4531812411,96.8064117431641,63.9851608276367,16.1378707885742,NA,NA,NA,NA,NA,98.9459991455078,50.9,546278
"1038","Macao SAR, China",2010,55.198,93.34233,53045.8790315006,93.7963180541992,61.7919616699219,15.672679901123,NA,NA,NA,NA,NA,97.1859991550446,50.1,534626
"1039","Macao SAR, China",2009,54,NA,40859.9871804445,92.262939453125,62.3026313781738,12.9088201522827,NA,NA,NA,NA,NA,93.4530019760132,50,521617
"1040","Macao SAR, China",2008,49.24,NA,40847.0524921596,94.2131195068359,58.0811080932617,NA,NA,NA,NA,NA,NA,91.8900012969971,NA,507528
"1041","Macao SAR, China",2007,47.327,NA,36606.7826713872,102.963516235352,58.7346496582031,NA,NA,NA,NA,NA,NA,86.4359974861145,48.1,493206
"1042","Macao SAR, China",2006,46.4,NA,30363.6237286657,107.222427368164,62.4172592163086,NA,NA,NA,NA,NA,NA,73.4089970588684,48.1,479808
"1043","Macao SAR, China",2005,34.8629271733959,NA,25189.7793561308,105.182388305664,63.5963706970215,NA,NA,NA,NA,NA,NA,63.8130009174347,49.5,468149
"1044","Macedonia, FYR",2011,56.7,NA,4940.95334535474,NA,NA,NA,0.1,0.1,0.1,NA,40.2,NA,42.4,2103890
